epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,213.611,0.55544,0.49091,0.96954,0.88074,0.98083,0.97833,0.866,0.56547,0.42008,1.00183,0.004555,0.004555,0.004555
57,217.396,0.52573,0.46904,0.96825,0.90663,0.98799,0.995,0.88028,0.55512,0.37574,0.96702,0.004456,0.004456,0.004456
58,221.221,0.52815,0.53778,0.97092,0.92548,0.93303,0.97833,0.83084,0.67358,0.39058,1.04376,0.004357,0.004357,0.004357
59,225.017,0.53354,0.45637,0.97237,0.87522,1,0.97833,0.84222,0.61228,0.38997,0.99257,0.004258,0.004258,0.004258
60,228.808,0.52519,0.49238,0.98801,0.9337,0.88119,0.965,0.82119,0.57375,0.45176,0.99557,0.004159,0.004159,0.004159
61,232.601,0.50426,0.48208,0.97224,0.97156,0.9405,0.995,0.86016,0.57556,0.3615,1.03597,0.00406,0.00406,0.00406
62,236.401,0.50657,0.49868,0.98072,0.90413,1,0.97833,0.7847,0.76309,0.43264,1.11912,0.003961,0.003961,0.003961
63,240.191,0.49188,0.47677,0.96788,0.91322,0.96575,0.995,0.8178,0.66809,0.39715,1.04769,0.003862,0.003862,0.003862
64,243.984,0.53454,0.48704,0.98217,0.93944,0.90438,0.97833,0.84707,0.55131,0.34889,0.96772,0.003763,0.003763,0.003763
65,247.778,0.48114,0.46276,0.95679,0.90654,0.92228,0.97833,0.87845,0.51525,0.38236,0.96065,0.003664,0.003664,0.003664
66,251.573,0.49177,0.505,0.95649,0.89819,0.97454,0.97833,0.88168,0.47501,0.31114,0.92912,0.003565,0.003565,0.003565
67,255.398,0.46795,0.42993,0.96154,0.90003,0.97557,0.97833,0.86712,0.52682,0.37795,0.95157,0.003466,0.003466,0.003466
68,259.19,0.51532,0.45608,0.97369,0.90779,0.92182,0.97833,0.86659,0.51005,0.44836,0.96015,0.003367,0.003367,0.003367
69,262.992,0.47943,0.48643,0.9619,0.91144,0.91952,0.97833,0.86604,0.56695,0.40527,1.04204,0.003268,0.003268,0.003268
70,266.784,0.45605,0.42358,0.9376,0.90138,0.96032,0.97833,0.87529,0.4885,0.33963,0.99665,0.003169,0.003169,0.003169
71,270.568,0.47503,0.45361,0.96203,0.91047,0.97294,0.97833,0.89081,0.47666,0.34501,0.99593,0.00307,0.00307,0.00307
72,274.393,0.47224,0.43218,0.96386,0.96138,0.95449,0.995,0.88937,0.47833,0.32411,0.98237,0.002971,0.002971,0.002971
73,278.189,0.4327,0.41289,0.93854,0.94032,0.96848,0.995,0.91617,0.45437,0.29688,0.97061,0.002872,0.002872,0.002872
74,282.013,0.4534,0.41987,0.94447,0.94058,0.96978,0.97833,0.88675,0.46465,0.31409,0.96983,0.002773,0.002773,0.002773
75,285.809,0.42734,0.42265,0.93491,0.90868,0.95234,0.97833,0.90232,0.4791,0.34211,0.97033,0.002674,0.002674,0.002674
76,289.606,0.44232,0.40745,0.92047,0.90743,0.89645,0.95167,0.87595,0.46164,0.37313,0.95834,0.002575,0.002575,0.002575
77,293.403,0.43444,0.41411,0.94438,0.94276,0.94211,0.995,0.90872,0.49094,0.3165,0.95277,0.002476,0.002476,0.002476
78,297.201,0.42853,0.3945,0.93781,0.93116,0.95203,0.97833,0.87468,0.51439,0.31376,0.95845,0.002377,0.002377,0.002377
79,301.024,0.45903,0.40431,0.94538,0.93514,0.96682,0.97833,0.88746,0.49028,0.3102,0.95609,0.002278,0.002278,0.002278
80,304.852,0.41606,0.38385,0.92457,0.9049,0.97135,0.97,0.88519,0.46852,0.31409,0.9474,0.002179,0.002179,0.002179
81,308.652,0.43095,0.41339,0.93915,0.93658,0.91667,0.97008,0.8819,0.50003,0.32146,0.96373,0.00208,0.00208,0.00208
82,312.455,0.42697,0.37975,0.93614,0.90308,0.97988,0.97833,0.88065,0.49237,0.3112,0.9804,0.001981,0.001981,0.001981
83,316.255,0.44656,0.38829,0.9463,0.94651,0.90516,0.97,0.83966,0.53357,0.39824,1.01366,0.001882,0.001882,0.001882
84,320.055,0.413,0.37302,0.93552,0.90406,0.97581,0.97833,0.84585,0.53051,0.32667,1.03131,0.001783,0.001783,0.001783
85,323.846,0.4128,0.40126,0.9319,0.90012,0.97495,0.97833,0.87052,0.46071,0.28249,0.97516,0.001684,0.001684,0.001684
86,327.635,0.38442,0.37259,0.92936,0.89123,0.97069,0.97833,0.88694,0.44946,0.27311,0.94203,0.001585,0.001585,0.001585
87,331.426,0.41591,0.4253,0.92995,0.82969,0.95,0.95929,0.83871,0.58117,0.42256,1.01694,0.001486,0.001486,0.001486
88,335.216,0.39267,0.35453,0.91309,0.96085,0.96404,0.995,0.91035,0.45282,0.27281,0.94648,0.001387,0.001387,0.001387
89,339.007,0.39632,0.3696,0.92597,0.88827,0.97906,0.97833,0.88304,0.44729,0.29577,0.94971,0.001288,0.001288,0.001288
90,342.808,0.38309,0.35694,0.90734,0.97169,0.95724,0.995,0.908,0.42146,0.28894,0.93491,0.001189,0.001189,0.001189
91,347.11,0.27606,0.24052,0.83247,0.90857,0.92497,0.97833,0.88839,0.45506,0.32965,0.9421,0.00109,0.00109,0.00109
92,350.93,0.27105,0.23988,0.83139,0.94835,0.94602,0.995,0.91776,0.43799,0.27393,0.94466,0.000991,0.000991,0.000991
93,354.737,0.27049,0.22856,0.82235,0.96247,0.93421,0.995,0.9155,0.44014,0.27297,0.94174,0.000892,0.000892,0.000892
94,358.521,0.27775,0.22436,0.839,0.96607,0.93523,0.995,0.91686,0.43534,0.27664,0.94184,0.000793,0.000793,0.000793
95,362.313,0.27117,0.22794,0.82673,0.96937,0.92885,0.995,0.92272,0.43289,0.28275,0.93898,0.000694,0.000694,0.000694
96,366.122,0.2635,0.23148,0.81824,0.97007,0.92967,0.995,0.91772,0.42867,0.27878,0.93329,0.000595,0.000595,0.000595
97,369.906,0.26319,0.21745,0.81577,0.96807,0.93616,0.98675,0.92195,0.4249,0.28635,0.93088,0.000496,0.000496,0.000496
98,373.685,0.2614,0.2118,0.82869,0.9656,0.93851,0.98675,0.91917,0.41853,0.28846,0.93716,0.000397,0.000397,0.000397
99,377.477,0.24977,0.20546,0.81108,0.95932,0.94933,0.9785,0.92197,0.41276,0.28672,0.9416,0.000298,0.000298,0.000298
100,381.267,0.27143,0.20777,0.84552,0.96235,0.96232,0.97437,0.92016,0.41058,0.29328,0.94145,0.000199,0.000199,0.000199
