epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,431.627,0.4242,0.39684,0.93249,0.88845,0.96479,0.96183,0.83557,0.35758,0.26329,0.74073,0.002476,0.002476,0.002476
78,437.158,0.43679,0.39391,0.93504,0.88808,0.95818,0.95783,0.84913,0.34936,0.27768,0.74312,0.002377,0.002377,0.002377
79,442.704,0.41749,0.40696,0.92507,0.93454,0.95928,0.97433,0.83982,0.39522,0.32067,0.78001,0.002278,0.002278,0.002278
80,448.524,0.41478,0.37347,0.9136,0.88573,0.96607,0.97433,0.8461,0.39094,0.28784,0.75899,0.002179,0.002179,0.002179
81,454.316,0.42358,0.37448,0.92359,0.91267,0.94868,0.96183,0.86609,0.32208,0.24937,0.73767,0.00208,0.00208,0.00208
82,460.037,0.43262,0.37372,0.94007,0.92486,0.91034,0.94525,0.85788,0.32532,0.24684,0.7352,0.001981,0.001981,0.001981
83,465.864,0.413,0.3615,0.90838,0.91782,0.91367,0.9501,0.86248,0.3287,0.32958,0.73549,0.001882,0.001882,0.001882
84,471.803,0.44068,0.41038,0.93616,0.91105,0.92781,0.97,0.87948,0.29061,0.21179,0.72852,0.001783,0.001783,0.001783
85,477.524,0.41237,0.37192,0.90545,0.91604,0.92054,0.97,0.8765,0.29936,0.20848,0.73097,0.001684,0.001684,0.001684
86,483.358,0.40147,0.39177,0.92481,0.92775,0.90673,0.97,0.8641,0.33362,0.22881,0.74288,0.001585,0.001585,0.001585
87,489.187,0.39995,0.3461,0.92598,0.9192,0.91857,0.97,0.88424,0.30908,0.19776,0.73679,0.001486,0.001486,0.001486
88,494.84,0.37133,0.35783,0.89949,0.91015,0.94997,0.97833,0.88953,0.30487,0.19951,0.72882,0.001387,0.001387,0.001387
89,500.595,0.38735,0.35253,0.90208,0.9045,0.97406,0.97833,0.89246,0.3146,0.20786,0.73422,0.001288,0.001288,0.001288
90,506.37,0.38204,0.35863,0.92442,0.90942,0.93924,0.97,0.88471,0.31787,0.2097,0.73688,0.001189,0.001189,0.001189
91,513.358,0.26687,0.24139,0.84149,0.9262,0.97017,0.97833,0.88666,0.32113,0.20447,0.743,0.00109,0.00109,0.00109
92,519.01,0.28321,0.23469,0.83277,0.90937,0.92337,0.97,0.87546,0.33133,0.23453,0.73597,0.000991,0.000991,0.000991
93,524.507,0.26553,0.22908,0.82362,0.91584,0.92388,0.97,0.87687,0.34583,0.23438,0.73551,0.000892,0.000892,0.000892
94,529.987,0.26453,0.22913,0.84955,0.93182,0.92269,0.97,0.89065,0.33329,0.2355,0.73157,0.000793,0.000793,0.000793
95,535.6,0.28093,0.22203,0.8221,0.92661,0.92035,0.97,0.88855,0.31012,0.20182,0.72906,0.000694,0.000694,0.000694
96,541.446,0.25397,0.21624,0.82795,0.92689,0.98122,0.97833,0.89731,0.32565,0.2259,0.73452,0.000595,0.000595,0.000595
97,547.08,0.25098,0.21192,0.82427,0.9326,0.98086,0.97833,0.90483,0.30311,0.21001,0.73142,0.000496,0.000496,0.000496
98,552.652,0.24617,0.20344,0.81243,0.92563,0.98006,0.97833,0.90522,0.29623,0.19921,0.72968,0.000397,0.000397,0.000397
99,558.38,0.24877,0.21477,0.82348,0.93013,0.97924,0.97833,0.89478,0.28507,0.19122,0.73051,0.000298,0.000298,0.000298
100,563.935,0.22774,0.1924,0.79977,0.93788,0.97617,0.97833,0.89665,0.27757,0.18299,0.72981,0.000199,0.000199,0.000199
